Date,Open,High,Low,Close,Adj Close,Volume
2018-03-19,35.599998,35.869999,33.150002,33.169998,31.414949,174758800
2018-03-26,33.750000,34.520000,32.740002,34.169998,32.362034,128708800
2018-04-02,34.090000,34.810001,32.919998,34.119999,32.314690,148777700
2018-04-09,34.389999,34.560001,32.869999,33.020000,31.451164,124141800
2018-04-16,33.340000,33.849998,32.980000,33.209999,31.632130,118691000
2018-04-23,33.240002,34.779999,31.799999,31.809999,30.298656,173810600
2018-04-30,31.910000,32.240002,30.549999,31.959999,30.441525,125841000
2018-05-07,32.029999,32.410000,30.430000,31.900000,30.384378,133629400
2018-05-14,31.889999,32.840000,31.730000,32.720001,31.165421,103952300
2018-05-21,32.770000,32.889999,31.280001,31.750000,30.241503,97038600
2018-05-28,31.549999,31.889999,30.670000,31.260000,29.774786,90189100
2018-06-04,31.299999,32.660000,30.959999,32.080002,30.555828,124255800
2018-06-11,31.969999,34.400002,30.990000,33.880001,32.270302,200563200
2018-06-18,33.790001,34.150002,32.169998,33.810001,32.203629,249663200
2018-06-25,33.799999,34.110001,32.080002,32.810001,31.251144,156533000
2018-07-02,32.439999,33.610001,32.419998,33.580002,31.984562,52697400
2018-07-09,33.779999,35.150002,33.029999,34.700001,33.243851,107208700
2018-07-16,34.740002,35.290001,33.980000,34.299999,32.860641,126434400
2018-07-23,34.160000,35.610001,32.810001,35.080002,33.607914,129166800
2018-07-30,35.060001,36.090000,34.619999,35.410000,33.924065,99409100
2018-08-06,35.590000,35.810001,34.889999,35.080002,33.607914,64333600
2018-08-13,35.119999,35.849998,34.669998,35.599998,34.106091,70231100
2018-08-20,35.700001,36.790001,35.259998,36.500000,34.968323,65306100
2018-08-27,36.639999,37.070000,36.200001,36.990002,35.437759,67171100
2018-09-03,36.750000,36.849998,35.720001,36.169998,34.652168,72445200
2018-09-10,36.400002,37.230000,35.669998,36.959999,35.409019,93769200
2018-09-17,37.029999,38.060001,36.720001,37.900002,36.309574,132338700
2018-09-24,35.950001,36.270000,34.750000,35.410000,33.924065,147525500
2018-10-01,35.529999,35.889999,34.410000,34.560001,33.109734,117987000
2018-10-08,34.500000,35.830002,33.509998,34.619999,33.345585,129809700
2018-10-15,34.610001,36.669998,34.509998,35.980000,34.655514,121857200
2018-10-22,36.099998,36.419998,34.049999,35.240002,33.942760,150651700
2018-10-29,35.919998,38.650002,35.419998,37.660000,36.273670,145557000
2018-11-05,37.939999,38.709999,37.529999,38.340000,36.928642,92161200
2018-11-12,38.250000,38.919998,37.509998,38.590000,37.169437,100373800
2018-11-19,38.590000,38.910000,36.610001,37.389999,36.013615,70811700
2018-11-26,37.779999,39.660000,37.439999,39.009998,37.573978,99255700
2018-12-03,39.090000,39.290001,36.980000,37.410000,36.032875,101641200
2018-12-10,37.540001,37.930000,36.180000,36.340000,35.002262,100673700
2018-12-17,36.389999,36.860001,33.669998,33.750000,32.507607,144265200
2018-12-24,33.720001,35.360001,32.610001,34.349998,33.085522,69996500
2018-12-31,34.290001,35.840000,33.299999,35.810001,34.491776,90177800
2019-01-07,35.630001,36.119999,35.270000,35.630001,34.509285,98497800
2019-01-14,35.410000,36.320000,35.349998,36.209999,35.071037,99025100
2019-01-21,36.049999,37.419998,34.830002,35.779999,34.654564,135135600
2019-01-28,35.480000,36.880001,34.669998,36.790001,35.632801,118430100
2019-02-04,36.740002,37.759998,36.270000,37.599998,36.417316,108599400
2019-02-11,37.700001,37.779999,36.750000,37.770000,36.581970,75599700
2019-02-18,37.750000,38.740002,37.439999,38.610001,37.395550,70283000
2019-02-25,38.660000,39.509998,38.310001,39.099998,37.870132,94307100
2019-03-04,39.250000,39.650002,37.889999,38.189999,36.988762,69797900
2019-03-11,38.250000,40.520000,38.099998,40.470001,39.197044,152070700
2019-03-18,40.230000,40.450001,38.900002,39.459999,38.218811,96638700
2019-03-25,39.480000,40.500000,38.939999,39.980000,38.722458,76889100
2019-04-01,40.340000,40.619999,39.810001,40.419998,39.148613,83039200
2019-04-08,40.349998,41.330002,40.169998,41.299999,40.210415,61577800
2019-04-15,41.320000,42.830002,41.259998,42.430000,41.310608,52080700
2019-04-22,42.259998,43.959999,41.709999,43.080002,41.943459,96918200
2019-04-29,43.169998,43.799999,42.360001,43.290001,42.147923,72665100
2019-05-06,42.770000,43.410000,42.160000,43.150002,42.011612,68445500
2019-05-13,42.570000,43.810001,42.139999,43.540001,42.391323,102479300
2019-05-20,43.380001,43.500000,42.410000,42.669998,41.544273,66657300
2019-05-27,42.849998,43.029999,40.770000,41.000000,39.918331,76522900
2019-06-03,41.029999,41.869999,40.680000,41.480000,40.385670,124734900
2019-06-10,41.480000,42.500000,41.029999,42.310001,41.193775,105509900
2019-06-17,42.340000,43.779999,42.090000,43.560001,42.410797,94082500
2019-06-24,43.549999,43.860001,41.410000,42.279999,41.164566,119000300
2019-07-01,42.650002,43.349998,42.340000,43.279999,42.138184,54579500
2019-07-08,43.180000,45.009998,42.360001,44.639999,43.677055,86113700
2019-07-15,44.869999,45.259998,44.020000,44.060001,43.109573,80955000
2019-07-22,44.110001,45.299999,43.639999,44.630001,43.667274,94075700
2019-07-29,44.700001,44.709999,42.200001,42.650002,41.729984,76946000
2019-08-05,42.139999,43.150002,40.720001,42.930000,42.003944,94594300
2019-08-12,42.730000,44.040001,42.049999,43.180000,42.248554,84154200
2019-08-19,43.630001,44.459999,42.270000,42.430000,41.514736,69153200
2019-08-26,42.740002,44.650002,42.549999,44.259998,43.305256,64102700
2019-09-02,43.889999,46.619999,43.529999,46.349998,45.350174,74085400
2019-09-09,46.650002,47.270000,46.009998,46.880001,45.868740,77216900
2019-09-16,46.230000,47.160000,45.790001,46.360001,45.359955,74227100
2019-09-23,46.169998,46.650002,44.250000,44.810001,43.843391,93519700
2019-09-30,45.000000,45.709999,43.610001,44.709999,43.745544,72511600
2019-10-07,44.389999,45.939999,43.639999,45.549999,44.776012,69200600
2019-10-14,45.369999,46.099998,45.060001,45.570000,44.795673,56808600
2019-10-21,45.889999,47.240002,44.500000,45.650002,44.874313,80158100
2019-10-28,45.389999,46.049999,43.889999,44.750000,43.989605,81808700
2019-11-04,45.110001,45.220001,43.529999,45.189999,44.422131,86219400
2019-11-11,44.880001,45.669998,44.430000,44.560001,43.802837,69266500
2019-11-18,44.310001,44.910000,43.779999,44.799999,44.038754,78329700
2019-11-25,44.830002,44.900002,43.250000,44.150002,43.399807,93756100
2019-12-02,44.400002,44.419998,43.080002,44.240002,43.488277,92727600
2019-12-09,44.259998,45.090000,42.009998,43.580002,42.839489,154294900
2019-12-16,43.889999,44.189999,43.029999,44.090000,43.340824,131493900
2019-12-23,44.080002,45.220001,43.950001,45.099998,44.333660,53405700
2019-12-30,45.099998,45.400002,44.570000,45.009998,44.245190,67445500
2020-01-06,44.660000,45.630001,44.220001,44.980000,44.215698,90380900
2020-01-13,44.919998,47.740002,44.900002,47.500000,46.913425,106006200
